iter	Passed	Remaining
0	0	42
1	0	40
2	1	38
3	1	35
4	1	35
5	2	35
6	2	35
7	3	34
8	3	34
9	3	33
10	4	33
11	4	33
12	4	32
13	5	32
14	5	31
15	5	31
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	10	27
27	10	26
28	10	26
29	11	26
30	11	25
31	11	25
32	12	25
33	12	24
34	13	24
35	13	24
36	14	24
37	14	23
38	15	23
39	15	23
40	15	22
41	15	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	18	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	10
73	30	10
74	30	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	34	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
